id|year|title|genres|original_language|productions_companies|overview|tagline|budget|revenue
49730|2011|Red Riding Hood|Fantasy, Thriller, Horror|en|Appian Way|Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man – who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.|Who's afraid?|42000000.0|89162162.0
50014|2011|The Help|Drama|en|Touchstone Pictures|"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines."|Change begins with a whisper.|25000000.0|124272124.0
59108|2011|Tower Heist|Action, Comedy|en|Universal Pictures|A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.|Ordinary guys. An extraordinary robbery.|75000000.0|152930623.0
37686|2011|Super 8|Thriller, Science Fiction, Mystery|en|K/O Camera Toys|In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.|It Arrives.|50000000.0|260095987.0
55846|2011|Blitz|Crime, Action, Thriller|en|Lipsync Productions|A tough, renegade cop with a gay sidekick is dispatched to take down a serial killer who has been targeting police officers.|It's cop-killer vs. killer-cop|15774948.0|741875.0
58233|2011|Johnny English Reborn|Crime, Adventure, Action, Comedy, Thriller|en|Universal Pictures|The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.|A little intelligence goes a long way|45000000.0|160078586.0
74643|2011|The Artist|Drama, Comedy, Romance|en|uFilm|Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.|A breath of fresh vintage air|15000000.0|133432856.0
44943|2011|Battle: Los Angeles|Action, Science Fiction|en|Columbia Pictures|The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.|It's not war. It's survival.|70000000.0|202466756.0
50546|2011|Just Go with It|Comedy, Romance|en|Columbia Pictures|A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.|Sometimes a guy's best wingman... is a wingwoman|80000000.0|214918407.0
417859|2011|Puss in Boots|Action, Adventure, Animation, Family, Fantasy, Comedy|en|DreamWorks Animation|Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.|Live for danger. Fight for justice. Pray for mercy.|130000000.0|554987477.0
50456|2011|Hanna|Action, Thriller, Adventure|en|Focus Features|A 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe. Tracked by a ruthless operatives, she faces startling revelations about her existence and questions about her humanity.|Adapt or die.|30000000.0|63782078.0
76025|2011|Shame|Drama|en|HanWay Films|Brandon, a thirty-something man living in New York, eludes intimacy with women but feeds his deepest desires with a compulsive addiction to sex. When his younger sister temporarily moves into his apartment, stirring up bitter memories of their shared painful past, Brandon's life, like his fragile mind, gets out of control…||6500000.0|19123767.0
46529|2011|I Am Number Four|Action, Thriller, Science Fiction, Adventure|en|Touchstone Pictures|A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.|Three like him have already been killed…he is Number Four.|50000000.0|149878437.0
27582|2011|The Mechanic|Action, Thriller, Crime|en|Scared Productions|Arthur Bishop is a 'mechanic' - an elite assassin with a strict code and unique talent for cleanly eliminating targets. It's a job that requires professional perfection and total detachment, and Bishop is the best in the business. But when he is ordered to take out his mentor and close friend Harry, Bishop is anything but detached.|Someone has to fix the problems.|40000000.0|51070807.0
55721|2011|Bridesmaids|Comedy, Romance|en|Apatow Productions|Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.|Save the date|32500000.0|288383523.0
49494|2011|The Eagle|Adventure, Drama|en|Prime Focus|In 140 AD, twenty years after the unexplained disappearance of the entire Ninth Legion in the mountains of Scotland, young centurion Marcus Aquila (Tatum) arrives from Rome to solve the mystery and restore the reputation of his father, the commander of the Ninth. Accompanied only by his British slave Esca (Bell), Marcus sets out across Hadrian's Wall into the uncharted highlands of Caledonia - to confront its savage tribes, make peace with his father's memory, and retrieve the lost legion's golden emblem, the Eagle of the Ninth.|The destiny of a soldier. The honour of a slave. The fate of an empire.|25000000.0|27122040.0
74998|2011|Seeking Justice|Action, Drama, Thriller|en|Endgame Entertainment|After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score.|Vengeance always has a price|17000000.0|12355798.0
38321|2011|Priest|Horror, Action, Thriller|en|Michael De Luca Productions|In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.|The War is Eternal. His Mission is Just the Beginning.|60000000.0|78309131.0
59860|2011|Monte Carlo|Adventure, Comedy, Romance|en|Blossom Films|Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.|She's having the time of someone else's life.|20000000.0|39667665.0
